Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Account at a formal financial institution (% age 15+),GFDD.AI.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.005012,..,..,9.961001,..,..,14.54708,..,..,..,9.653822
Afghanistan,AFG,"Bank accounts per 1,000 adults",GFDD.AI.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.402495,87.487134,105.88574,139.43751,166.11281,155.78115,172.80729,181.08728,182.14525,166.16705,174.29911,183.28731,..,..
Afghanistan,AFG,Bank deposits to GDP (%),GFDD.OI.02,0.7479339,1.101215,1.512195,1.088757,1.7,2.139073,1.473016,1.325365,1.695146,2.518927,2.149939,2.605586,3.414763,2.993462,2.716392,2.566761,2.561565,2.856208,2.513872,2.673701,3.080199,3.592886,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.212831,13.07231,15.5035,18.70725,19.14611,19.30889,18.08667,17.72008,17.20384,17.11684,18.96479,19.07627,18.88173,16.91687,17.64849,..
Afghanistan,AFG,Central bank assets to GDP (%),GFDD.DI.06,13.25207,16.49797,20.4187,16.30473,19.56944,13.42163,10.24127,8.952191,12.71173,14.01773,12.28697,13.13246,17.90089,16.18774,15.20262,15.76633,16.99464,14.49935,16.74431,18.29334,13.74761,17.69844,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.248049,1.917891,1.425788,3.233945,2.826811,2.551267,2.497572,1.992255,1.323696,0.6103021,0.0750632,0.1159692,..
Afghanistan,AFG,Credit card (% age 15+),GFDD.AI.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.825734,..,..,1.385928,..,..,1.063656,..,..,..,0
Afghanistan,AFG,Credit to government and state-owned enterprises to GDP (%),GFDD.EI.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Credit flows by fintech and bigtech companies to GDP (%),GFDD.DM.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Deposit money bank assets to deposit money bank assets and central bank assets (%),GFDD.DI.04,25.78107,21.93487,18.58995,17.42583,16.01097,22.51816,21.49897,22.27603,18.86086,18.3101,20.95181,17.68893,17.86399,19.29997,19.2198,14.04208,11.60209,12.37066,12.74476,12.73827,17.20842,12.09737,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.58896,86.0317,77.96436,56.26987,59.72195,59.32874,60.26381,65.52003,73.74906,84.97005,97.7129,96.25589,..
Afghanistan,AFG,Insurance company assets to GDP (%),GFDD.DI.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Gross portfolio debt assets to GDP (%),GFDD.DM.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
